time,cwnd,ssthresh,base,nextSeq,event
2,1,16,0,0,SEND
3,2,16,1,1,CWND
3,2,16,1,1,ACK
3,2,16,1,1,SEND
3,2,16,1,2,SEND
3,4,16,2,3,CWND
3,4,16,2,3,ACK
3,4,16,2,3,SEND
3,4,16,2,4,SEND
3,4,16,2,5,SEND
3,5,16,3,6,CWND
3,5,16,3,6,ACK
3,5,16,3,6,SEND
3,5,16,3,7,SEND
3,5,16,4,8,CWND
3,5,16,4,8,ACK
4,5,16,4,8,SEND
4,5,16,5,9,CWND
4,5,16,5,9,ACK
4,5,16,5,9,SEND
4,5,16,5,10,ACK
4,5,16,5,10,ACK
205,2,2,5,10,TIMEOUT
206,1,1,5,10,FAST_RETX
206,1,1,5,10,ACK
206,1,1,5,10,ACK
207,2,1,9,10,CWND
207,2,1,9,10,ACK
207,2,1,9,10,SEND
207,2,1,9,11,ACK
408,1,1,9,11,TIMEOUT
409,2,1,11,11,CWND
409,2,1,11,11,ACK
409,2,1,11,11,SEND
409,2,1,11,12,SEND
409,3,1,12,13,CWND
409,3,1,12,13,ACK
410,3,1,12,13,SEND
410,3,1,12,14,SEND
410,4,1,13,15,CWND
410,4,1,13,15,ACK
410,4,1,13,15,SEND
411,4,1,13,16,SEND
411,5,1,14,17,CWND
411,5,1,14,17,ACK
411,5,1,14,17,SEND
411,5,1,14,18,SEND
411,6,1,15,19,CWND
411,6,1,15,19,ACK
411,6,1,15,19,SEND
411,6,1,15,20,ACK
411,6,1,15,20,ACK
412,3,3,15,20,FAST_RETX
412,3,3,15,20,ACK
412,4,3,18,20,CWND
412,4,3,18,20,ACK
412,4,3,18,20,SEND
412,4,3,18,21,SEND
614,2,2,18,22,TIMEOUT
615,2,2,18,22,ACK
615,2,2,18,22,ACK
817,1,1,18,22,TIMEOUT
817,2,1,22,22,CWND
817,2,1,22,22,ACK
817,2,1,22,22,SEND
817,2,1,22,23,SEND
818,2,1,22,24,ACK
818,2,1,22,24,ACK
1019,1,1,22,24,TIMEOUT
1019,2,1,24,24,CWND
1019,2,1,24,24,ACK
1019,2,1,24,24,SEND
1019,2,1,24,25,SEND
1020,2,1,24,26,ACK
1020,2,1,24,26,ACK
1221,1,1,24,26,TIMEOUT
1222,2,1,26,26,CWND
1222,2,1,26,26,ACK
1222,2,1,26,26,SEND
1222,2,1,26,27,SEND
1222,2,1,26,28,ACK
1423,1,1,26,28,TIMEOUT
1424,1,1,26,28,ACK
1626,1,1,26,28,TIMEOUT
1627,2,1,28,28,CWND
1627,2,1,28,28,ACK
1627,2,1,28,28,SEND
1627,2,1,28,29,SEND
1828,1,1,28,30,TIMEOUT
1829,2,1,29,30,CWND
1829,2,1,29,30,ACK
1829,2,1,29,30,SEND
1829,2,1,29,31,ACK
2031,1,1,29,31,TIMEOUT
2032,2,1,31,31,CWND
2032,2,1,31,31,ACK
2032,2,1,31,31,SEND
2032,2,1,31,32,SEND
2032,3,1,32,33,CWND
2033,3,1,32,33,ACK
2033,3,1,32,33,SEND
2033,3,1,32,34,SEND
2033,4,1,33,35,CWND
2033,4,1,33,35,ACK
2033,4,1,33,35,SEND
2033,4,1,33,36,SEND
2033,5,1,34,37,CWND
2033,5,1,34,37,ACK
2034,5,1,34,37,SEND
2034,5,1,34,38,SEND
2034,5,1,34,39,ACK
2034,5,1,34,39,ACK
2034,2,2,34,39,FAST_RETX
2034,2,2,34,39,ACK
2034,3,2,37,39,CWND
2034,3,2,37,39,ACK
2035,3,2,37,39,SEND
2236,1,1,37,40,TIMEOUT
2237,2,1,39,40,CWND
2237,2,1,39,40,ACK
2237,2,1,39,40,SEND
2238,2,1,39,41,ACK
2440,1,1,39,41,TIMEOUT
2641,1,1,39,41,TIMEOUT
2643,1,1,39,41,ACK
2843,1,1,39,41,TIMEOUT
2844,1,1,39,41,FAST_RETX
2845,1,1,39,41,ACK
3046,1,1,39,41,TIMEOUT
3047,1,1,39,41,ACK
3249,1,1,39,41,TIMEOUT
3250,2,1,41,41,CWND
3250,2,1,41,41,ACK
3250,2,1,41,41,SEND
3250,2,1,41,42,SEND
3250,2,1,41,43,ACK
3250,3,1,42,43,CWND
3250,3,1,42,43,ACK
3251,3,1,42,43,SEND
3251,3,1,42,44,SEND
3251,4,1,43,45,CWND
3251,4,1,43,45,ACK
3251,4,1,43,45,SEND
3251,4,1,43,46,SEND
3251,4,1,43,47,ACK
3251,4,1,43,47,ACK
3453,2,2,43,47,TIMEOUT
3453,1,1,43,47,FAST_RETX
3453,1,1,43,47,ACK
3454,2,1,44,47,CWND
3454,2,1,44,47,ACK
3656,1,1,44,47,TIMEOUT
3656,2,1,47,47,CWND
3656,2,1,47,47,ACK
3657,2,1,47,47,SEND
3657,2,1,47,48,SEND
3657,2,1,47,49,ACK
3858,1,1,47,49,TIMEOUT
3859,2,1,48,49,CWND
3859,2,1,48,49,ACK
3859,2,1,48,49,SEND
4060,1,1,48,50,TIMEOUT
4061,2,1,49,50,CWND
4061,2,1,49,50,ACK
4061,2,1,49,50,SEND
4263,1,1,49,51,TIMEOUT
4264,1,1,49,51,ACK
4465,1,1,49,51,TIMEOUT
4466,2,1,51,51,CWND
4466,2,1,51,51,ACK
4466,2,1,51,51,SEND
4466,2,1,51,52,SEND
4466,2,1,51,53,ACK
4467,3,1,52,53,CWND
4467,3,1,52,53,ACK
4467,3,1,52,53,SEND
4467,3,1,52,54,SEND
4467,4,1,53,55,CWND
4467,4,1,53,55,ACK
4467,4,1,53,55,SEND
4467,4,1,53,56,SEND
4467,5,1,54,57,CWND
4467,5,1,54,57,ACK
4467,5,1,54,57,SEND
4468,5,1,54,58,SEND
4468,5,1,54,59,ACK
4468,5,1,54,59,ACK
4468,2,2,54,59,FAST_RETX
4468,2,2,54,59,ACK
4670,1,1,54,59,TIMEOUT
4670,1,1,54,59,ACK
4671,1,1,54,59,ACK
4671,1,1,54,59,FAST_RETX
4671,1,1,54,59,ACK
4671,2,1,59,59,CWND
4671,2,1,59,59,ACK
4671,2,1,59,59,SEND
4672,2,1,59,60,SEND
4672,3,1,60,61,CWND
4672,3,1,60,61,ACK
4672,3,1,60,61,SEND
4672,3,1,60,62,SEND
4672,4,1,61,63,CWND
4672,4,1,61,63,ACK
4672,4,1,61,63,SEND
4672,4,1,61,64,SEND
4672,5,1,62,65,CWND
4672,5,1,62,65,ACK
4672,5,1,62,65,SEND
4672,5,1,62,66,SEND
4672,5,1,62,67,ACK
4672,5,1,62,67,ACK
4873,2,2,62,67,TIMEOUT
4875,1,1,62,67,FAST_RETX
4875,1,1,62,67,ACK
4876,2,1,63,67,CWND
4876,2,1,63,67,ACK
5077,1,1,63,67,TIMEOUT
5279,1,1,63,67,TIMEOUT
5279,2,1,67,67,CWND
5279,2,1,67,67,ACK
5279,2,1,67,67,SEND
5279,2,1,67,68,SEND
5280,2,1,67,69,ACK
5280,2,1,67,69,ACK
5280,1,1,67,69,FAST_RETX
5280,1,1,67,69,ACK
5280,1,1,67,69,ACK
5481,1,1,67,69,TIMEOUT
5482,2,1,69,69,CWND
5482,2,1,69,69,ACK
5482,2,1,69,69,SEND
5482,2,1,69,70,SEND
5483,2,1,69,71,ACK
5684,1,1,69,71,TIMEOUT
5685,2,1,71,71,CWND
5685,2,1,71,71,ACK
5685,2,1,71,71,SEND
5685,2,1,71,72,SEND
5887,1,1,71,73,TIMEOUT
5888,1,1,71,73,ACK
6089,1,1,71,73,TIMEOUT
6090,1,1,71,73,ACK
6291,1,1,71,73,TIMEOUT
6493,1,1,71,73,TIMEOUT
6494,1,1,71,73,FAST_RETX
6494,1,1,71,73,ACK
6695,1,1,71,73,TIMEOUT
6696,2,1,73,73,CWND
6696,2,1,73,73,ACK
6696,2,1,73,73,SEND
6696,2,1,73,74,SEND
6696,3,1,74,75,CWND
6696,3,1,74,75,ACK
6696,3,1,74,75,SEND
6697,3,1,74,76,SEND
6697,3,1,74,77,ACK
6898,1,1,74,77,TIMEOUT
6899,1,1,74,77,ACK
7101,1,1,74,77,TIMEOUT
7101,2,1,77,77,CWND
7101,2,1,77,77,ACK
7101,2,1,77,77,SEND
7101,2,1,77,78,SEND
7101,2,1,77,79,ACK
7101,2,1,77,79,ACK
7101,3,1,78,79,CWND
7101,3,1,78,79,ACK
7101,3,1,78,79,SEND
7102,3,1,78,80,SEND
7303,1,1,78,81,TIMEOUT
7304,2,1,79,81,CWND
7304,2,1,79,81,ACK
7304,3,1,80,81,CWND
7304,3,1,80,81,ACK
7304,3,1,80,81,SEND
7304,3,1,80,82,SEND
7305,3,1,80,83,ACK
7506,1,1,80,83,TIMEOUT
7507,2,1,82,83,CWND
7507,2,1,82,83,ACK
7507,2,1,82,83,SEND
7507,2,1,82,84,ACK
7709,1,1,82,84,TIMEOUT
7709,2,1,84,84,CWND
7709,2,1,84,84,ACK
7710,2,1,84,84,SEND
7710,2,1,84,85,SEND
7710,2,1,84,86,ACK
7911,1,1,84,86,TIMEOUT
7911,2,1,85,86,CWND
7911,2,1,85,86,ACK
7912,2,1,85,86,SEND
7912,3,1,86,87,CWND
7912,3,1,86,87,ACK
7912,3,1,86,87,SEND
7912,3,1,86,88,SEND
7912,3,1,86,89,ACK
7912,3,1,86,89,ACK
8114,1,1,86,89,TIMEOUT
8315,1,1,86,89,TIMEOUT
8516,1,1,86,89,TIMEOUT
